,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3408,2011 Hyundai i10,Sportz 1.2,"2,51,286",2011,Petrol,"38,270 Kms",1197 cc,2nd Owner,Automatic,19 kmpl
3409,2017 Honda Jazz,1.2 V AT i VTEC,"7,40,000",2017,Petrol,"33,873 Kms",1199 cc,1st Owner,DL7C,Comprehensive
3410,2017 Hyundai i20,Asta Option,"5,69,000",2016,Petrol,"50,024 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3411,2017 Hyundai i20,Magna 1.4 CRDi,"5,44,500",2016,Diesel,"64,390 Kms",1396 cc,1st Owner,Manual,16.2 kmpl
3412,2018 Volkswagen Polo,1.2 MPI Comfortline,"4,30,500",2017,Petrol,"40,750 Kms",1199 cc,1st Owner,Automatic,16.95 kmpl
3413,2012 Hyundai i10,Sportz AT,"3,26,000",2012,Petrol,"64,543 Kms",1197 cc,1st Owner,Manual,24 kmpl
3414,2017 Hyundai Grand i10,1.2 CRDi Magna,"4,12,206",2017,Diesel,"62,547 Kms",1186 cc,1st Owner,Manual,23.5 kmpl
3415,2013 Hyundai Verna,1.4 EX,"4,25,000",2013,Diesel,"66,997 Kms",1396 cc,1st Owner,Automatic,18 kmpl
3416,2015 Honda City,i VTEC CVT VX,"6,90,772",2015,Petrol,"79,502 Kms",1497 cc,1st Owner,Automatic,23.84 kmpl
3417,2018 Tata Tiago,1.2 Revotron XZA,"4,67,826",2018,Petrol,"43,855 Kms",1199 cc,1st Owner,Manual,22 kmpl
3418,2015 Maruti Swift,VXI 2018,"4,90,000",2015,Petrol,"67,565 Kms",1197 cc,1st Owner,Manual,24 kmpl
3419,2018 Hyundai Grand i10,1.2 CRDi Sportz,"4,69,500",2018,Diesel,"45,317 Kms",1186 cc,1st Owner,Automatic,18.4 kmpl
3420,2018 Honda City,V CVT,"10,57,500",2018,Petrol,"14,856 Kms",1498 cc,1st Owner,Manual,18.9 kmpl
3421,2020 Hyundai Grand i10,Sportz Petrol BSIV,"5,78,000",2020,Petrol,"8,509 Kms",1197 cc,1st Owner,Automatic,19 kmpl
